"year","artist_name","song_title","release_week","weeks_charted_all_time","peak_rank","pandora_id","initial_match","gender","register","genre","spoken","falsetto"
1958,"Andy Rose","Just Young","1958-10-06",7,69,9549381,"False",NULL,NULL,NULL,NULL,NULL
1958,"Andy Williams","Promise Me, Love","1958-09-01",12,17,11689616,"True",NULL,NULL,NULL,NULL,NULL
1958,"Andy Williams","The Hawaiian Wedding Song (Ke Kali Nei Au)","1958-12-29",20,11,8477028,"True",NULL,NULL,NULL,NULL,NULL
1958,"Art Lund","Philadelphia U.S.A.","1958-12-15",3,89,6914185,"False",NULL,NULL,NULL,NULL,NULL
1958,"Augie Rios","¿Dònde Està Santa Claus? (Where Is Santa Claus?)","1958-12-15",4,47,7607479,"True",NULL,NULL,NULL,NULL,NULL
1958,"Bernie Lowe Orchestra","Intermission Riff","1958-11-24",4,61,13569528,"False",NULL,NULL,NULL,NULL,NULL
1958,"Bernie Lowe Orchestra","Sing Sing Sing","1958-11-24",7,46,272576,"True",NULL,NULL,NULL,NULL,NULL
1958,"Betty Johnson","Hoopa Hoola","1958-10-06",5,56,10721328,"False",NULL,NULL,NULL,NULL,NULL
1958,"Betty Madigan","Dance Everyone Dance","1958-08-18",9,34,11309922,"False",NULL,NULL,NULL,NULL,NULL
1958,"Big Bopper","Big Bopper's Wedding","1958-12-08",7,38,38353,"True","male",4,"Rock",3,0
1958,"Big Bopper","Chantilly Lace","1958-08-04",25,6,38356,"True","male",4,"Rock",6,0
1958,"Big Bopper","Little Red Riding Hood","1958-12-01",4,72,38350,"True","male",6,"Rock",4,0
1958,"Bill Doggett","Blip Blop","1958-08-04",2,82,7564477,"True",NULL,NULL,NULL,NULL,NULL
1958,"Bill Doggett","Hold It","1958-11-10",1,92,7564455,"True",NULL,NULL,NULL,NULL,NULL
1958,"Bill Haley And His Comets","Lean Jean","1958-08-11",1,67,9573871,"True",NULL,NULL,NULL,NULL,NULL
1958,"Bill Parsons","The All American Boy","1958-12-22",16,2,5947362,"True","male",4,"Pop",4,0
1958,"Billy & Lillie","Lucky Ladybug","1958-12-22",13,14,10733769,"True",NULL,NULL,NULL,NULL,NULL
1958,"Billy Grammer","Gotta Travel On","1958-11-24",20,4,1786328,"True","male",4,"Country",0,0
1958,"Billy Vaughn And His Orchestra","Blue Hawaii","1958-12-29",10,37,12786233,"False",NULL,NULL,NULL,NULL,NULL
1958,"Billy Vaughn And His Orchestra","Cimarron (Roll On)","1958-10-20",10,44,16804239,"True",NULL,NULL,NULL,NULL,NULL
1958,"Billy Vaughn And His Orchestra","La Paloma","1958-08-11",10,26,9799598,"True",NULL,NULL,NULL,NULL,NULL
1958,"Billy Williams","I'll Get By (As Long As I Have You)","1958-08-04",1,99,699762,"False",NULL,NULL,NULL,NULL,NULL
1958,"Bing Crosby","White Christmas","1958-12-22",15,12,553078,"True",NULL,NULL,NULL,NULL,NULL
1958,"Bob Kayli","Everyone Was There","1958-11-17",2,96,11269957,"False",NULL,NULL,NULL,NULL,NULL
1958,"Bobby Darin","Queen Of The Hop","1958-10-06",19,9,15149,"True","male",5,"Pop",0,0
1958,"Bobby Darin","Splish Splash","1958-08-04",8,3,15151,"True","male",6,"Pop",0,0
1958,"Bobby Day","Over And Over","1958-08-04",11,41,15708267,"True","male",6,"Pop",0,0
1958,"Bobby Day","Rock-in Robin","1958-08-04",21,2,15708273,"True","male",8,"Pop",2,0
1958,"Bobby Day","The Bluebird, The Buzzard & The Oriole","1958-12-29",6,54,15708269,"True","male",6,"Pop",4,0
1958,"Bobby Freeman","Betty Lou Got A New Pair Of Shoes","1958-08-04",9,37,1946547,"True","male",7,"R&B",2,2
1958,"Bobby Freeman","Do You Want To Dance","1958-08-04",5,20,1946546,"True","male",7,"R&B",0,0
1958,"Bobby Freeman","Need Your Love","1958-11-24",5,54,1946550,"True","male",7,"R&B",0,2
1958,"Bobby Hamilton","Crazy Eyes For You","1958-08-04",3,40,9378312,"False",NULL,NULL,NULL,NULL,NULL
1958,"Bobby Helms","Borrowed Dreams","1958-08-18",2,60,643179,"True","male",7,"Country",0,0
1958,"Bobby Helms","Jingle Bell Rock","1958-12-22",25,8,5124801,"True",NULL,NULL,NULL,NULL,NULL
1958,"Bobby Helms","The Fool And The Angel","1958-12-08",6,75,11453234,"True","male",7,"Country",0,0
1958,"Bobby Hendricks","Itchy Twitchy Feeling","1958-08-04",14,25,6427876,"True",NULL,NULL,NULL,NULL,NULL
