"peak_rank","points","year","artist_name","song_title","initial_match","falsetto","gender","register","genre","spoken","pandora_id","preview_url"
76,134,1967,"Chuck Jackson","Shame On Me","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,3,1967,"Clarence Carter","Thread the Needle","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,1172,1967,"The Classics IV","Spooky","True",0,"male",7,"Pop",2,11943,NULL
100,2,1967,"Claudine Longet","Good Day Sunshine","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,10,1967,"Claudine Longet","Hello, Hello","True",0,"female",5,"Pop",2,13824430,NULL
95,13,1967,"Clifford Curry","She Shot A Hole In My Soul","True",0,"male",5,"R&B",2,157345,NULL
94,7,1967,"Connie Francis","Time Alone Will Tell","True",0,"female",5,"Pop",0,104002,NULL
95,12,1967,"Country Joe & The Fish","Not So Sweet Martha Lorraine","True",4,"male",6,"Pop",0,14282,NULL
36,282,1967,"Crispian St. Peters","You Were on My Mind","True",0,"male",4,"Pop",2,12817789,NULL
89,46,1967,"Tammy Wynette","My Elusive Dreams","True",0,"duet",4,"Pop",4,59597,NULL
75,145,1967,"David Houston","You Mean The World To Me","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,564,1967,"Davie Allan & The Arrows","Blue's Theme ( From ""The Wild Angels"")","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,4,1967,"Davie Allan & The Arrows","Devil's Angels","True",0,"#N/A",0,"Pop",0,165893,NULL
25,441,1967,"Dean Martin","In the Chapel in the Moonlight","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,308,1967,"Dean Martin","In The Misty Moonlight","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,195,1967,"Dean Martin","Lay Some Happiness On Me","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,287,1967,"Dean Martin","Little Ole Wine Drinker, Me","True",0,"male",5,"Pop",0,9660501,NULL
92,9,1967,"Dee Dee Warwick","When Love Slips Away","True",0,"female",6,"R&B",0,291373,NULL
65,158,1967,"Deon Jackson","Ooh Baby","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,603,1967,"Diana Ross & The Supremes","In And Out Of Love (Single Version) (Mono)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,938,1967,"Diana Ross & The Supremes","Reflections","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,2,1967,"Dino, Desi & Billy","Two In The Afternoon","False",0,"male",6,"Pop",0,7428807,NULL
15,944,1967,"Dionne Warwick","Alfie","True",0,"female",7,"Pop",0,57981,NULL
4,1028,1967,"Dionne Warwick","I Say A Little Prayer (2006 Re-Record)","True",3,"female",8,"Pop",2,693383,"https://p.scdn.co/mp3-preview/358ec6aa9624b1f82788f6bf770721d2b57c8733?cid=635a94c846854eb29813825c79d704a2"
79,42,1967,"Dionne Warwick","Beginning of Loneliness","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,428,1967,"Dionne Warwick","Windows Of The World, The","True",0,"female",6,"Pop",0,57978,NULL
98,3,1967,"Don And The Goodtimes","Happy And Me","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,214,1967,"Don & The Goodtimes","I Could Be so Good to You","True",0,"male",5,"Pop",0,11290067,NULL
19,464,1967,"Donovan","Epistle To Dippy (Single Version)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,611,1967,"Donovan","There Is A Mountain (Single Version)","True",0,"male",5,"Pop",0,6917827,NULL
23,441,1967,"Donovan","Wear Your Love Like Heaven","True",2,"male",6,"Pop",0,1126732,"https://p.scdn.co/mp3-preview/36e192e22a55d315f2040ace6bf7db1005fb101b?cid=635a94c846854eb29813825c79d704a2"
76,80,1967,"Dusty Springfield","Give Me Time","True",0,"female",7,"Pop",0,6579498,NULL
40,346,1967,"Dusty Springfield","I'll Try Anything (To Get You)","True",0,"female",7,"Pop",0,6579510,NULL
22,637,1967,"Dusty Springfield","Look Of Love, The","True",0,"female",6,"Pop",0,52437,NULL
49,316,1967,"Dusty Springfield","What's It Gonna Be","True",0,"female",6,"Pop",0,6579507,NULL
65,283,1967,"Dyke & The Blazers","Funky Broadway Parts 1 & 2","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,936,1967,"Ed Ames","My Cup Runneth Over","True",0,"male",3,"Pop",0,863849,NULL
61,230,1967,"Ed Ames","Time, Time (Tu As Beau Sourire)","True",0,"male",4,"Pop",0,863852,NULL
98,4,1967,"Ed Ames","When The Snow Is On The Roses","True",0,"male",4,"Pop",0,863862,NULL
19,467,1967,"Ed Ames","Who Will Answer? (Aleluya No.1)","True",0,"male",4,"Pop",3,863855,NULL
97,10,1967,"Eddie Fisher","People Like You","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,3,1967,"Eddie Floyd","Don't Rock The Boat","True",0,"male",6,"R&B",0,7104423,NULL
97,4,1967,"Eddie Floyd","Love Is A Doggone Good Thing","True",0,"male",6,"R&B",0,475456,NULL
92,18,1967,"Eddie Floyd","On A Saturday Night","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,77,1967,"Eddie Floyd","Raise Your Hand","True",0,"male",7,"R&B",0,5239283,NULL
91,40,1967,"Eddy Arnold","Here Comes Heaven","True",0,"male",3,"Country",0,263954,NULL
87,27,1967,"Eddy Arnold","Lonely Again (2000)","True",0,"male",3,"Country",0,1172872,NULL
57,304,1967,"Eddy Arnold","Misty Blue","True",0,"male",5,"Country",0,6889305,NULL
66,199,1967,"Eddy Arnold","Turn The World Around","True",0,"male",5,"Country",0,261343,NULL
83,35,1967,"Ellie Greenwich","I Want You To Be My Baby","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,4,1967,"Elmo & Almo","When The Good Sun Shines","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,433,1967,"Elvis Presley","Indescribably Blue","True",0,"male",7,"Rock",0,7240197,NULL
63,150,1967,"Elvis Presley","Long Legged Girl (With The Short Dress On)","True",0,"male",5,"Rock",2,1367724,NULL
92,9,1967,"Elvis Presley","That's Someone You Never Forget","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,210,1967,"Elvis Presley","There's Always Me (If I Can Dream Version)","True",0,"male",4,"Pop",2,4979827,NULL
44,265,1967,"Elvis Presley With The Jordanaires","You Don't Know Me","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,308,1967,"Elvis Presley","Big Boss Man (Alternate Take 2) (Digitally Remastered)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,90,1967,"Elvis Presley","Judy","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,621,1967,"Engelbert Humperdinck","Am I That Easy To Forget","True",0,"male",5,"Country",0,5865863,NULL
4,1010,1967,"Engelbert Humperdinck","Release Me","True",0,"male",5,"Pop",0,5936053,NULL
25,515,1967,"Engelbert Humperdinck","last waltz, The","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,403,1967,"Engelbert Humperdinck","There goes my everything","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,556,1967,"Eric Burdon & The Animals","Monterey","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,707,1967,"Eric Burdon & The Animals","San Franciscan Nights","True",2,"male",7,"Rock",0,89281,NULL
15,598,1967,"Eric Burdon & The Animals","When I Was Young","True",0,"male",5,"Pop",0,89279,NULL
62,142,1967,"Erma Franklin","Piece Of My Heart","True",0,"female",8,"R&B",0,5781419,NULL
23,715,1967,"Etta James","Tell Mama","True",0,"female",7,"Pop",0,486268,NULL
93,23,1967,"Every Father's Teenage Son","A Letter To Dad","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1107,1967,"Every Mother's Son","Come On Down To My Boat","True",0,"male",5,"Pop",0,633833,NULL
93,13,1967,"Every Mother's Son","Pony With The Golden Mane","True",0,"male",5,"Rock",0,1650521,NULL
46,310,1967,"Every Mother's Son","Put Your Mind At Ease","True",3,"male",7,"Rock",2,1650523,"https://p.scdn.co/mp3-preview/c656178dd441931b04df910a338f2e2e801e6111?cid=635a94c846854eb29813825c79d704a2"
68,130,1967,"Fantastic Four","To Share Your Love","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,237,1967,"Fantastic Four","You Gave Me Something (And Everything's Alright)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,262,1967,"Felice Taylor","It May Be Winter Outside (But in My Heart It's Spring)","True",0,"female",6,"R&B",0,10734278,NULL
14,535,1967,"Four Tops","7-Rooms Of Gloom","True",0,"male",7,"R&B",3,964327,NULL
4,800,1967,"Four Tops","Bernadette","True",0,"male",7,"R&B",3,88153,NULL
76,111,1967,"Four Tops","I'll Turn To Stone","True",0,"male",8,"R&B",0,964328,NULL
19,519,1967,"Four Tops","You Keep Running Away","True",0,"male",6,"R&B",0,22618,NULL
30,401,1967,"Frank Sinatra","World We Knew (Over And Over), The","True",0,"#N/A",4,"Pop",0,6573031,NULL
53,205,1967,"Frank Sinatra","This Town","True",0,"male",4,"Pop",2,6573037,NULL
39,380,1967,"Frankie Laine","I'll Take Care of Your Cares","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,148,1967,"Frankie Laine","Laura, What's He Got That I Ain't Got","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,382,1967,"Frankie Laine","Making Memories","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,284,1967,"Frankie Laine","You Wanted Someone To Play With (I Wanted Someone To Love)","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,38,1967,"Frankie Laine","You, No One But You","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1316,1967,"Frankie Valli & The Four Seasons","Can't Take My Eyes Off You [Live]","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,476,1967,"Frankie Valli & The Four Seasons","I Make A Fool Of Myself [LP Version]","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,449,1967,"Frankie Valli & The Four Seasons","To Give (The Reason I Live) (2007 Remastered Version)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,18,1967,"Freddie McCoy","Peas 'N' Rice","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,119,1967,"Freddie Scott","Am I Grooving You","True",0,"male",8,"R&B",0,10007157,NULL
70,134,1967,"Freddie Scott","Cry To Me","True",0,"male",8,"Rock",2,10007174,NULL
100,1,1967,"Freddie Scott","He Ain't Give You None","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,297,1967,"Gary Lewis & The Playboys","Girls In Love","True",0,"male",7,"R&B",2,755217,NULL
52,276,1967,"Gary Lewis & The Playboys","Jill","True",6,"male",5,"R&B",2,710219,"https://p.scdn.co/mp3-preview/f5549bf9b12dfd7aab61135b598af946102929b4?cid=635a94c846854eb29813825c79d704a2"
43,283,1967,"Gary Lewis & The Playboys","Loser (With A Broken Heart), The","True",0,"male",6,"R&B",3,755216,NULL
78,103,1967,"Gene & Debbe","Go With Me","True",0,"duet",6,"Country",0,576019,NULL
66,209,1967,"Gene Chandler","Here Come The Tears","True",4,"male",7,"R&B",0,6552057,"https://p.scdn.co/mp3-preview/97883e460f8114f4abef7f8a63ff88cf4975b7a9?cid=635a94c846854eb29813825c79d704a2"
98,3,1967,"Gene Chandler","There Goes The Lover","False",0,"duet",4,"Pop",0,6585492,NULL
94,24,1967,"Gene Chandler","To Be A Lover","True",2,"male",8,"R&B",0,7088797,"https://p.scdn.co/mp3-preview/b4104213dd98aef028c0f47f9d6f2a6507fd1aac?cid=635a94c846854eb29813825c79d704a2"
39,377,1967,"Gladys Knight & The Pips","Everybody Needs Love","True",0,"female",7,"R&B",0,5113,NULL
2,1389,1967,"Gladys Knight & The Pips","I Heard It Through The Grapevine","True",0,"female",7,"Pop",0,964277,NULL
98,6,1967,"Gladys Knight & The Pips","Take Me In Your Arms And Love Me","True",0,"female",7,"R&B",2,964309,NULL
26,629,1967,"Glen Campbell","By The Time I Get To Phoenix (Remastered)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,544,1967,"Glen Campbell","Gentle On My Mind","True",0,"male",6,"Pop",2,1765828,NULL
43,348,1967,"Harpers Bizarre","Anything Goes","True",0,"male",6,"Rock",0,700887,NULL
45,278,1967,"Harpers Bizarre","Chattanooga Choo Choo","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,326,1967,"Harpers Bizarre","Come To The Sunshine","True",6,"duet",8,"Pop",0,547277,"https://p.scdn.co/mp3-preview/0c08450b419f6c5d1fe7232a22e39e14e593bdcc?cid=635a94c846854eb29813825c79d704a2"
13,731,1967,"Harpers Bizarre","59th Street Bridge Song (Feelin' Groovy)","True",0,"male",6,"Rock",0,547281,NULL
79,106,1967,"Harvey Scales","Get Down","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,48,1967,"Helena Ferguson","Where Is The Party","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,708,1967,"Henson Cargill","Skip A Rope","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,319,1967,"Herb Alpert & The Tijuana Brass","A Banda (Ah Bahn-da)","False",0,"#N/A",0,"Pop",0,13896982,NULL
27,504,1967,"Herb Alpert & The Tijuana Brass","Casino Royale","True",0,"#N/A",0,"Pop",0,9175037,NULL
32,277,1967,"Herb Alpert & The Tijuana Brass","Happening, The","True",0,"#N/A",0,"Pop",0,5559019,NULL
37,252,1967,"Herb Alpert & The Tijuana Brass","Wade In The Water","True",0,"#N/A",0,"Pop",0,9175034,NULL
93,8,1967,"Herbie Mann","To Sir With Love","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,417,1967,"Herman's Hermits","Don't Go Out Into The Rain, You're Going To Melt","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,281,1967,"Herman's Hermits","Museum","True",0,"male",5,"Rock",0,509251,NULL
35,521,1967,"Herman's Hermits","No Milk Today","True",0,"male",5,"Pop",0,633575,NULL
4,904,1967,"Herman's Hermits","There's A Kind Of Hush","True",0,"male",6,"Pop",0,633589,NULL
71,198,1967,"Hugh Masekela","Up, Up And Away","True",0,"#N/A",0,"Jazz",0,644443,NULL
61,240,1967,"J.J. Barnes","Baby Please Come Back Home","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,184,1967,"Jack Greene","There Goes My Everything","True",0,"male",5,"Country",0,7555598,NULL
81,55,1967,"Jack Jones","I'm Indestructible","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,456,1967,"Jack Jones","Lady","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,3,1967,"Jack Jones","Live For Life","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,144,1967,"Jack Jones","Now I Know","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,18,1967,"Jack Jones","Our Song","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,912,1967,"Jackie Wilson","(Your Love Keeps Lifting Me) Higher And Higher","True",3,"male",9,"Pop",0,489332,"https://p.scdn.co/mp3-preview/715dfaeb3221769b58a3712d492a68f979535883?cid=635a94c846854eb29813825c79d704a2"
84,37,1967,"Jackie Wilson","I Don't Want To Lose You","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,66,1967,"Jackie Wilson","I've Lost You","True",0,"male",7,"R&B",0,8545480,NULL
91,26,1967,"Jackie Wilson","Just Be Sincere","True",3,"male",8,"R&B",0,8546042,"https://p.scdn.co/mp3-preview/93808161389d6f8f6dcf32e79f5e9acd1ccdbbf7?cid=635a94c846854eb29813825c79d704a2"
32,322,1967,"Jackie Wilson","Since You Showed Me How To Be Happy","True",3,"male",8,"R&B",0,12152189,"https://p.scdn.co/mp3-preview/80a4f492df9b6b32cc6d0b4e12c551a34fb9bb0a?cid=635a94c846854eb29813825c79d704a2"
41,274,1967,"James & Bobby Purify","I Take What I Want","True",2,"male",7,"R&B",2,1064132,"https://p.scdn.co/mp3-preview/61ae944aac355fc324742291957925fcae8082c1?cid=635a94c846854eb29813825c79d704a2"
23,539,1967,"James & Bobby Purify","Let Love Come Between Us","True",2,"male",7,"R&B",2,1064133,"https://p.scdn.co/mp3-preview/24fcd13496bcf8d9798069518d60a9bc2b5b1b1c?cid=635a94c846854eb29813825c79d704a2"
25,526,1967,"James & Bobby Purify","Shake A Tail Feather","True",0,"male",7,"R&B",2,1064127,NULL
38,303,1967,"James & Bobby Purify","Wish You Didn't Have To Go","True",0,"male",6,"R&B",2,1064130,NULL
29,453,1967,"James Brown","Bring It Up","True",0,"male",9,"R&B",2,1049316,NULL
7,808,1967,"James Brown","Cold Sweat Part 1","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,311,1967,"James Brown","Get It Together (Part 1)","True",0,"male",9,"R&B",0,1049333,NULL
28,473,1967,"James Brown","I Can't Stand Myself (When You Touch Me)","True",0,"male",5,"R&B",4,1127046,NULL
55,172,1967,"James Brown","Kansas City","True",0,"male",9,"R&B",2,1049318,NULL
46,278,1967,"James Brown","Let Yourself Go (Live At The Garden)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,7,1967,"James Carr","I'm A Fool For You","True",0,"duet",6,"R&B",0,537999,NULL
77,92,1967,"James Carr","Dark End Of The Street, The","True",0,"male",7,"Rock",0,537572,NULL
35,339,1967,"James Darren","All","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,792,1967,"Janis Ian","Society's Child","True",0,"female",7,"Pop",0,28930,NULL
6,1128,1967,"Jay & The Techniques","Apples, Peaches, Pumpkin Pie","True",0,"male",5,"R&B",0,2040331,NULL
14,811,1967,"Jay & The Techniques","Keep The Ball Rollin","True",0,"male",6,"Pop",0,2040334,NULL
96,5,1967,"Jeanne & The Darlings","How Can You Mistreat The One You Love","True",0,"female",7,"R&B",0,7101886,NULL
42,273,1967,"Jefferson Airplane","Ballad Of You & Me & Pooneil, The","True",0,"male",7,"Pop",0,509215,NULL
5,995,1967,"Jefferson Airplane","Somebody To Love","True",0,"female",7,"Pop",0,6599309,NULL
61,136,1967,"Jefferson Airplane","Watch Her Ride","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,785,1967,"Jefferson Airplane","White Rabbit (Mono Single Version)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,248,1967,"Jerry Butler","I Dig You Baby","True",0,"male",5,"R&B",0,60912,NULL
62,177,1967,"Jerry Butler","Lost","True",0,"male",5,"R&B",0,107329,NULL
38,342,1967,"Jerry Butler","Mr. Dream Merchant","True",0,"male",5,"R&B",0,60894,NULL
29,478,1967,"Jerry Jaye","My Girl Josephine","True",0,"male",6,"Pop",0,10708564,NULL
51,274,1967,"Jerryo","Karate-Boo-Ga-Loo","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,9,1967,"Jesse James","Believe In Me Baby (Part 2)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,103,1967,"Jimi Hendrix","Foxey Lady","True",0,"male",7,"Pop",4,27726,NULL
31,467,1967,"Jimmie Rodgers","Child Of Clay","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,21,1967,"Jimmy Hughes","Why Not Tonight","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,16,1967,"Jimmy Roselli","There Must Be A Way","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,133,1967,"Jimmy Ruffin","Don't You Miss Me A Little Bit Baby","True",0,"male",7,"R&B",0,553427,NULL
29,374,1967,"Jimmy Ruffin","Gonna Give Her All The Love I've Got","True",0,"male",7,"R&B",0,553420,NULL
87,48,1967,"Joe Simon","My Special Prayer","True",0,"male",6,"Pop",0,51114,NULL
70,173,1967,"Joe Simon","Nine Pound Steel","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,149,1967,"Joe Tex","A Woman's Hands","True",0,"male",7,"R&B",5,6618024,NULL
35,373,1967,"Joe Tex","Show Me","True",3,"male",9,"R&B",3,5834275,NULL
10,1016,1967,"Joe Tex","Skinny Legs And All","True",0,"male",6,"R&B",6,5834280,NULL
54,242,1967,"Joe Tex","Woman Like That, Yeah","True",0,"male",7,"R&B",0,9039033,NULL
1,1261,1967,"John Fred And The Playboys","Judy In Disguise (With Glasses)","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,105,1967,"John Roberts","Sockin' 1-2-3-4","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,12,1967,"Johnnie Taylor","Somebody's Sleeping In My Bed","True",0,"male",6,"R&B",0,7101859,NULL
3,857,1967,"Johnny Rivers","Baby, I Need Your Lovin'","True",0,"male",5,"Pop",0,12617167,NULL
14,686,1967,"Johnny Rivers","Summer Rain","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,643,1967,"Johnny Rivers","Tracks Of My Tears","True",0,"male",5,"Pop",0,12617156,NULL
96,5,1967,"Johnny Thunder","Make Love to Me","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,621,1967,"Jon & Robin","Do It Again A Little Bit Slower","True",0,"male",6,"Pop",0,575519,NULL
100,2,1967,"Jon & Robin","Drums","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,618,1967,"Jr. Walker & The All Stars","Come See About Me","True",0,"male",9,"Pop",0,964290,NULL
31,430,1967,"Jr. Walker & The All Stars","Pucker Up Buttercup","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,325,1967,"Jr. Walker & The All Stars","Shoot Your Shot","True",0,"male",9,"Pop",0,1955296,NULL
97,6,1967,"Judy Collins","Hard Lovin' Loser","True",0,"female",5,"Folk",0,697748,NULL
79,66,1967,"Keith (1960s)","Daylight Savin' Time","True",0,"male",5,"Pop",0,13493113,NULL
37,305,1967,"Keith (1960s)","Tell Me To My Face","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,351,1967,"Kenny O'Dell","Beautiful People","True",4,"male",5,"Rock",0,7073034,"https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=635a94c846854eb29813825c79d704a2"
99,2,1967,"Kim Weston","I Got What You Need","False",0,"female",6,"R&B",0,544110,NULL
87,31,1967,"King Curtis & The Kingpins","For What It's Worth","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,113,1967,"King Curtis","I Was Made To Love Her","True",0,"#N/A",0,"R&B",0,479422,NULL
63,177,1967,"King Curtis","Jump Back","True",0,"#N/A",0,"R&B",0,6606401,NULL
33,462,1967,"King Curtis","Memphis Soul Stew","True",0,"male",6,"R&B",10,7472592,NULL
96,11,1967,"Larry Williams & Johnny Watson","Mercy, Mercy, Mercy","True",2,"male",6,"Pop",0,7315428,NULL
68,142,1967,"Laura Lee","Dirty Man","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,31,1967,"Laura Lee","Uptight Good Man","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,34,1967,"Laura Lee","Wanted: Lover, No Experience Necessary","True",0,"female",6,"R&B",0,11452639,NULL
62,182,1967,"Lee Dorsey","Go-Go Girl","True",0,"male",6,"R&B",3,5888402,NULL
97,4,1967,"Lee Dorsey","My Old Car","True",0,"male",6,"R&B",0,5986668,NULL
63,278,1967,"Leon Haywood","It's Got To Be Mellow","True",2,"male",7,"Pop",0,450627,NULL
92,26,1967,"Leon Haywood","Mellow Moonlight","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,72,1967,"Lesley Gore","Brink Of Disaster","True",0,"female",7,"Pop",0,6590890,NULL
16,872,1967,"Lesley Gore","California Nights","True",0,"female",6,"Rock",0,7136121,NULL
65,190,1967,"Lesley Gore","Summer And Sandy","True",0,"female",6,"Pop",0,5778841,NULL
21,699,1967,"Linda Jones","Hypnotized","True",0,"female",6,"R&B",0,245390,NULL
61,147,1967,"Linda Jones","What've I Done (To Make You Mad)","True",0,"female",8,"R&B",0,7508252,NULL
91,24,1967,"Little Milton","I Feel So Bad","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,22,1967,"Lorraine Ellison","Heart Be Still","True",0,"female",8,"Rock",0,6856418,NULL
95,11,1967,"Lou Christie","Shake Hands And Walk Away Cryin'","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,53,1967,"Lou Courtney","Do The Thing","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,109,1967,"Lou Courtney","Skate Now","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,24,1967,"Lou Donaldson","Alligator Bogaloo (Live At The Cadillac Club/1970)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,557,1967,"Lou Rawls","Dead End Street (Monologue)","True",0,"male",5,"Pop",10,47906,NULL
45,323,1967,"Lou Rawls","Show Business","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,24,1967,"Lou Rawls","Trouble Down Here Below","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,8,1967,"Lowell Fulson","Make A Little Love","True",0,"male",7,"R&B",6,789867,NULL
52,274,1967,"Lowell Fulson","Tramp (Live)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,509,1967,"Lulu","Best Of Both Worlds","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,1424,1967,"Lulu","To Sir With Love [From To Sir With Love]","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,5,1967,"Margaret Whiting","Only Love Can Break A Heart","True",0,"female",7,"Pop",0,2188273,NULL
58,167,1967,"Marlena Shaw","Mercy, Mercy, Mercy","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,980,1967,"Martha & The Vandellas","Jimmy Mack","True",0,"female",7,"Pop",0,964220,NULL
25,494,1967,"Martha & The Vandellas","Love Bug Leave My Heart Alone","True",0,"female",7,"Pop",0,48266,NULL
11,847,1967,"Martha & The Vandellas","Honey Chile","True",0,"female",7,"Pop",0,48287,NULL
14,728,1967,"Marvin Gaye & Kim Weston","It Takes Two","True",0,"duet",6,"R&B",0,544106,NULL
19,789,1967,"Marvin Gaye & Tammi Terrell","Ain't No Mountain High Enough","True",0,"female",7,"R&B",0,576569,NULL
10,814,1967,"Marvin Gaye","If I Could Build My Whole World Around You","True",0,"duet",7,"R&B",2,23483,NULL
5,981,1967,"Marvin Gaye & Tammi Terrell","Your Precious Love","True",4,"duet",8,"Pop",0,576573,NULL
33,340,1967,"Marvin Gaye","Your Unchanging Love","True",4,"male",8,"R&B",0,23486,NULL
54,311,1967,"Mickey Murray","Shout Bamalama","True",0,"male",6,"R&B",0,9023822,NULL
75,134,1967,"Micky Dolenz","Don't Do It","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,241,1967,"Mike Sharpe","Spooky","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,716,1967,"Miriam Makeba","Pata Pata","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,839,1967,"Mitch Ryder & The Detroit Wheels","Sock It To Me, Baby","True",0,"male",8,"Rock",0,6969758,NULL
24,350,1967,"Mitch Ryder & The Detroit Wheels","Too Many Fish In The Sea & Three Little Fishes","True",0,"male",6,"Rock",3,485907,NULL
41,222,1967,"Mitch Ryder & The Detroit Wheels","Joy","True",0,"male",5,"Rock",0,485904,NULL
30,371,1967,"Mitch Ryder","What Now My Love","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,28,1967,"Mitch Ryder & The Detroit Wheels","You Are My Sunshine","True",4,"male",6,"Rock",0,7471969,NULL
88,29,1967,"Moby Grape","Omaha","True",0,"male",7,"Rock",0,5581323,NULL
1,1145,1967,"Frank Sinatra & Nancy Sinatra","Somethin' Stupid","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
