"peak_rank","points","year","artist_name","song_title","initial_match","falsetto","gender","register","genre","spoken","pandora_id","preview_url"
8,1348,1958,"Bobby Helms","Jingle Bell Rock","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,104,1958,"Bobby Helms","(Now And Then) There's A Fool Such As I","True",0,"male",7,"Country",0,11453234,NULL
25,736,1958,"Bobby Hendricks","Itchy Twitchy Feeling","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,60,1958,"Bobby Pedrick Jr.","White Bucks And Saddle Shoes","True",0,"male",8,"Pop",0,1799039,NULL
62,230,1958,"Boots Brown & His Blockbusters","Cerveza","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,422,1958,"Buddy Holly","Early In The Morning (Single Version)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,40,1958,"Buddy Holly","Heartbeat","True",0,"male",6,"Rock",0,28147,NULL
22,846,1958,"Buddy Knox with the Rhythm Orchids","Somebody Touched Me","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,8,1958,"Carl Smith","Guess I've Been Around Too Long","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,20,1958,"Chuck Berry","Beautiful Delilah","True",0,"male",8,"Pop",3,251810,NULL
18,610,1958,"Chuck Berry","Carol","True",0,"male",7,"Pop",0,9729,NULL
83,50,1958,"Chuck Berry","Joe Joe Gunne","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,21,1958,"Chuck Berry","Johnny B. Goode","True",0,"male",6,"Pop",0,9730,NULL
71,63,1958,"Chuck Berry (Holiday)","Merry Christmas Baby","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,134,1958,"Chuck Berry","Run Rudolph Run","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,354,1958,"Chuck Berry","Sweet Little Rock & Roller","True",0,"male",7,"Pop",3,251815,NULL
56,144,1958,"Chuck Willis","My Life","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,341,1958,"Chuck Willis","What Am I Living For","True",0,"male",6,"R&B",0,1993900,NULL
6,1779,1958,"Clyde McPhatter","A Lover's Question","True",0,"male",7,"Pop",0,485222,NULL
43,158,1958,"Clyde McPhatter","Come What May","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,403,1958,"Connie Francis","Fallin'","True",4,"male",7,"Rock",0,274580,NULL
2,1347,1958,"Connie Francis","My Happiness","True",0,"female",6,"Pop",0,15039236,NULL
17,845,1958,"Connie Francis","Stupid Cupid","True",3,"female",7,"Pop",0,15039254,NULL
1,1663,1958,"Conway Twitty","It's Only Make Believe","True",0,"male",4,"Pop",0,1076401,NULL
100,1,1958,"Count Basie & His Orchestra","Goin' To Chicago Blues","True",2,"male",7,"Jazz",0,8867804,"https://p.scdn.co/mp3-preview/170217205f9fa2853e8908b933b8e2564e908d04?cid=774b29d4f13844c495f206cafdad9c86"
27,558,1958,"Cozy Cole","Topsy II","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,1529,1958,"Cozy Cole","Topsy II","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,384,1958,"Cozy Cole","Turvy II","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,28,1958,"Cyclones","Bullwhip Rock","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,38,1958,"Dale Hawkins","A House, A Car And A Wedding Ring","True",0,"male",6,"Pop",0,2590756,NULL
32,486,1958,"Dale Hawkins","La-Do-Dada","True",0,"male",6,"Rock",0,6038714,NULL
77,95,1958,"Dale Wright","Please Don't Do It","True",0,"male",6,"Pop",0,10661666,NULL
78,27,1958,"David Seville","Little Brass Band","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,22,1958,"David Seville","The Bird On My Head","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,250,1958,"Dean Martin","Angel Baby","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,105,1958,"Dean Martin","Return To Me","True",0,"male",5,"Pop",0,37205,NULL
15,764,1958,"Dean Martin","Volare (Nel Blu Di Pinto Di Blu) (1958)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,897,1958,"Dee Clark","Nobody But You","True",3,"male",7,"Rock",0,6016037,"https://p.scdn.co/mp3-preview/089d35c5f1e8b17eaa287b6bc722173b1134efc5?cid=635a94c846854eb29813825c79d704a2"
73,53,1958,"The Andrews Sisters","Straighten Up and Fly Right","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,308,1958,"Dicky Doo & The Don'ts","Leave Me Alone (Let Me Cry)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,570,1958,"Dion & The Belmonts","Don't Pity Me","True",4,"male",7,"Rock",0,12097824,"https://p.scdn.co/mp3-preview/636663ef532ab390d22f4fc788466ed6af97db9e?cid=635a94c846854eb29813825c79d704a2"
47,95,1958,"Dion & The Belmonts","I Wonder Why","True",0,"male",7,"Rock",0,12097792,NULL
24,842,1958,"Dion & The Belmonts","No One Knows","True",0,"male",7,"Rock",0,12097810,NULL
1,1352,1958,"Domenico Modugno","Nel Blu Dipinto Di Blu (Volare)","True",0,"male",5,"Pop",0,6546083,NULL
32,410,1958,"Don Gibson","Blue, Blue Day","True",0,"male",5,"Country",0,6234855,NULL
46,320,1958,"Don Gibson","Give Myself a Party","True",0,"male",5,"Country",3,11648023,NULL
58,350,1958,"Don Gibson","Look Who's Blue","True",0,"male",6,"Country",0,11648025,NULL
25,807,1958,"Donnie Owens","Need You","True",0,"male",4,"Pop",0,7872599,NULL
